Time,TZ,BL1.5LBA50CF1oo2_2JT01TValue,BL1.5LBA50CF1oo2_1JT01TValue,BL1.5LBA50CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_2JT01TValue,BL1.5LBA60CF1oo2_1JT01TValue,BL1.4LBB10FP905_ZE02U,BL1.4LBB10FP905_ZE01U,BL1.4LBB10FT905_ZE01U,BL1.BOP_5MAC10CP001_AI_JT01TValue,BL1.BOP_5MAC10CT001_AI_JT01TValue,BL1.BOP_5MAC20CP001_AI_JT01TValue,BL1.BOP_5MAC20CT001_AI_JT01TValue,BL1.BOP_5MAC30CP001_AI_JT01TValue,BL1.BOP_5MAC30CT001_AI_JT01TValue,BL1.BOP_5MAC40CP001_AI_JT01TValue,BL1.BOP_5MAC40CT001_AI_JT01TValue,BL1.4MAC10FT950_ZE01U,BL1.4MAM10CP010_XE01U,BL1.5LCA10FP920_ZE02U
#!Units,,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,barg,Bar,deg C,bar,deg C,bar,deg C,bar,deg C,bar,deg C,deg C,barg,bara
#!Description,Time Zone Information,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,LPT Pressure Inlet Steam,LPT Pressure LP Inlet Steam,LPT Inlet Steam Temperature ,PRESSURE FROM EXHAUST LP TURBINE TO DEAERATOR,TEMPERATURE FROM EXHAUST LP TURBINE TO DEAERATOR,PRESSURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,TEMPERATURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,LP ST EXTRACTION TO LP PREHEATER 2 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 2 TEMPERATURE,LP ST EXTRACTION TO LP PREHEATER 1 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 1 TEMPERATURE,LPT Exhaust Temperature,Pressure Leak Off Steam,Condenser Pressure
42:00.0,+02:00,30.1056,30.2951,30.2003,29.3915,29.3409,29.4047,16.9293,16.9185,383.1765,9.9166,296.8913,3.6126,242.4421,0.6791,115.6919,-0.1909,75.1107,36.3814,-0.0424,0.0612
43:00.0,+02:00,30.0544,30.3119,30.1832,29.4035,29.3245,29.4534,16.8534,16.8552,383.1765,9.8172,296.5495,3.5716,242.5579,0.6672,115.8156,-0.1948,74.8438,36.1752,-0.0426,0.0605
44:00.0,+02:00,30.1068,30.2779,30.1923,29.3322,29.2766,29.4325,16.9854,16.9917,383.3555,9.9831,296.7448,3.6397,242.6042,0.6857,115.8156,-0.1901,75.0195,36.2729,-0.0424,0.0611
45:00.0,+02:00,30.1252,30.2808,30.203,29.3449,29.276,29.3766,16.9854,16.9908,383.3392,9.9324,295.6868,3.6368,242.6736,0.6863,115.9049,-0.1887,75.2409,36.4356,-0.0423,0.0615
46:00.0,+02:00,30.0129,30.3355,30.1742,29.3479,29.3097,29.416,17.0152,17.0143,383.3066,9.9983,295.9147,3.6534,242.7662,0.6905,116.0218,-0.1878,75.2799,36.4356,-0.0427,0.0614
47:00.0,+02:00,30.0996,30.3402,30.2199,29.3473,29.2592,29.3754,17.0306,17.0324,383.2415,10.0103,294.5475,3.6584,242.882,0.692,116.0836,-0.1871,75.2995,36.4356,-0.0425,0.0613
48:00.0,+02:00,30.0232,30.3161,30.1696,29.3252,29.2563,29.4235,17.0387,17.0424,383.1927,10.0135,293.1803,3.6591,242.8935,0.6924,116.1386,-0.1871,75.3581,36.4356,-0.0425,0.0614
49:00.0,+02:00,30.0733,30.3068,30.1901,29.3215,29.1793,29.4046,17.0478,17.0505,383.1765,10.0185,291.9596,3.6534,242.882,0.6903,116.1455,-0.188,75.2995,36.3814,-0.0427,0.0613
50:00.0,+02:00,30.0579,30.3296,30.1938,29.2848,29.2525,29.3503,17.0514,17.0541,383.2253,10.0179,290.804,3.6502,242.8009,0.6894,116.118,-0.1883,75.2604,36.4465,-0.0426,0.0614
51:00.0,+02:00,30.1102,30.3366,30.2234,29.2864,29.2095,29.3016,17.0387,17.0406,383.2415,10.0109,289.7298,3.6425,242.7315,0.687,116.0424,-0.1892,75.2148,36.3271,-0.0427,0.0612
