Time,TZ,BL1.5LBA50CF1oo2_2JT01TValue,BL1.5LBA50CF1oo2_1JT01TValue,BL1.5LBA50CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_2JT01TValue,BL1.5LBA60CF1oo2_1JT01TValue,BL1.4LBB10FP905_ZE02U,BL1.4LBB10FP905_ZE01U,BL1.4LBB10FT905_ZE01U,BL1.BOP_5MAC10CP001_AI_JT01TValue,BL1.BOP_5MAC10CT001_AI_JT01TValue,BL1.BOP_5MAC20CP001_AI_JT01TValue,BL1.BOP_5MAC20CT001_AI_JT01TValue,BL1.BOP_5MAC30CP001_AI_JT01TValue,BL1.BOP_5MAC30CT001_AI_JT01TValue,BL1.BOP_5MAC40CP001_AI_JT01TValue,BL1.BOP_5MAC40CT001_AI_JT01TValue,BL1.4MAC10FT950_ZE01U,BL1.4MAM10CP010_XE01U,BL1.5LCA10FP920_ZE02U
#!Units,,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,barg,Bar,deg C,bar,deg C,bar,deg C,bar,deg C,bar,deg C,deg C,barg,bara
#!Description,Time Zone Information,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,LPT Pressure Inlet Steam,LPT Pressure LP Inlet Steam,LPT Inlet Steam Temperature ,PRESSURE FROM EXHAUST LP TURBINE TO DEAERATOR,TEMPERATURE FROM EXHAUST LP TURBINE TO DEAERATOR,PRESSURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,TEMPERATURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,LP ST EXTRACTION TO LP PREHEATER 2 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 2 TEMPERATURE,LP ST EXTRACTION TO LP PREHEATER 1 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 1 TEMPERATURE,LPT Exhaust Temperature,Pressure Leak Off Steam,Condenser Pressure
50:00.0,+02:00,24.4656,24.7178,24.5917,23.8868,23.8597,23.8997,13.403,13.4048,368.74,7.6601,315.5436,2.7166,231.3426,0.4292,107.2736,-0.2646,70.2604,32.5403,-0.0434,0.0484
51:00.0,+02:00,24.4195,24.7361,24.5778,23.8876,23.8615,23.9323,13.6236,13.6263,369.0004,7.7684,315.6738,2.7536,231.169,0.4386,107.1774,-0.2629,70.2018,32.5403,-0.0437,0.0486
52:00.0,+02:00,24.4945,24.7764,24.6355,23.8582,23.8159,23.8933,13.6597,13.6643,368.8539,7.8266,315.8528,2.7717,231.0764,0.4425,107.0193,-0.2621,70.2018,32.5403,-0.0435,0.0487
53:00.0,+02:00,24.4585,24.6851,24.5718,23.8573,23.8554,23.8592,13.695,13.6986,368.8702,7.8456,316.0156,2.78,230.9722,0.445,106.93,-0.2613,70.2799,32.5946,-0.0435,0.0489
54:00.0,+02:00,24.4455,24.7505,24.598,23.9086,23.8644,23.9817,13.6986,13.7032,368.8702,7.8437,316.1621,2.7781,230.9144,0.4442,106.8613,-0.2616,70.293,32.6489,-0.0433,0.0489
55:00.0,+02:00,24.4965,24.6921,24.5943,23.8828,23.885,23.925,13.7149,13.7185,368.74,7.8506,316.2923,2.7755,230.8218,0.4431,106.7925,-0.2623,70.2799,32.7031,-0.0432,0.0489
56:00.0,+02:00,24.4154,24.7745,24.5949,23.8594,23.8483,23.9514,13.6516,13.6552,368.8702,7.7791,316.4063,2.7481,230.7523,0.4351,106.6895,-0.2642,70.2474,32.6489,-0.0436,0.0488
57:00.0,+02:00,24.4857,24.7509,24.6183,23.8997,23.8264,23.9373,13.7113,13.7167,368.74,7.8475,316.5202,2.772,230.6713,0.4412,106.6001,-0.2629,70.1367,32.5946,-0.0433,0.0492
58:00.0,+02:00,24.4799,24.7104,24.5951,23.879,23.8387,23.9187,13.7285,13.7312,368.6098,7.8525,316.6667,2.7803,230.5787,0.4441,106.5314,-0.2619,70.2669,32.638,-0.0433,0.0489
59:00.0,+02:00,24.5001,24.719,24.6096,23.9231,23.9199,23.9134,13.7321,13.733,368.6586,7.8563,316.748,2.7844,230.6482,0.4454,106.5589,-0.2615,70.293,32.5946,-0.0438,0.0489
00:00.0,+02:00,24.5639,24.7249,24.6444,23.864,23.8261,23.8725,13.7249,13.7276,368.4958,7.8538,316.8945,2.7914,230.7292,0.4479,106.5589,-0.2604,70.3646,32.6489,-0.0437,0.049
01:00.0,+02:00,24.549,24.7461,24.6476,23.8721,23.8753,23.9269,13.7104,13.714,368.7725,7.8475,316.9434,2.7949,230.8565,0.4495,106.6551,-0.2592,70.4622,32.7574,-0.0433,0.049
02:00.0,+02:00,24.5492,24.7411,24.6452,23.9169,23.8933,23.9565,13.7022,13.7077,368.6586,7.8494,317.0573,2.7949,230.9375,0.4495,106.7582,-0.2592,70.4753,32.7031,-0.0434,0.0491
03:00.0,+02:00,24.567,24.7203,24.6436,23.9112,23.8859,23.9414,13.6878,13.6914,368.8702,7.843,317.0085,2.7927,231.0533,0.4492,106.8406,-0.2594,70.4557,32.7031,-0.0435,0.049
04:00.0,+02:00,24.5489,24.8658,24.7074,23.8968,23.8858,23.9232,13.6706,13.6733,368.8539,7.8329,317.0085,2.7892,231.1343,0.448,106.875,-0.2597,70.4427,32.6489,-0.0437,0.049
05:00.0,+02:00,24.5738,24.9216,24.7477,23.9209,23.8805,24.016,13.6489,13.6543,369.0004,7.8247,317.0735,2.7867,231.0995,0.4472,106.93,-0.2597,70.4557,32.7031,-0.0437,0.049
06:00.0,+02:00,24.599,24.7935,24.6962,23.9189,23.889,23.978,13.6254,13.629,368.9353,7.8063,317.0085,2.78,231.169,0.4456,106.9437,-0.2601,70.4232,32.6597,-0.0435,0.0489
07:00.0,+02:00,24.5749,24.7708,24.6728,23.9461,23.9422,23.95,13.5856,13.5829,368.9841,7.7513,317.0573,2.7628,231.2153,0.441,106.985,-0.2611,70.3971,32.6489,-0.0437,0.049
08:00.0,+02:00,24.6219,24.8589,24.7404,23.9371,23.8945,23.9797,13.5666,13.5702,368.6261,7.7779,317.0735,2.7644,231.25,0.4406,107.0056,-0.2616,70.2604,32.6489,-0.0436,0.0489
09:00.0,+02:00,24.571,24.8209,24.6959,24.0095,23.9372,24.0817,13.5404,13.5368,368.9841,7.7209,317.0735,2.7437,231.2037,0.4352,107.0056,-0.2629,70.3125,32.638,-0.0434,0.0489
10:00.0,+02:00,24.6124,24.812,24.7122,23.9443,23.9063,23.9849,13.5594,13.5639,368.8702,7.7646,317.0735,2.7478,231.1458,0.4352,106.9712,-0.2639,70.1563,32.5946,-0.0435,0.0486
11:00.0,+02:00,24.6254,24.8186,24.722,23.9498,23.9598,24.0011,13.5521,13.5558,369.0004,7.7576,317.2363,2.7446,231.0533,0.434,106.8613,-0.2642,70.1237,32.5403,-0.0437,0.0486
12:00.0,+02:00,24.6356,24.8469,24.7413,23.9167,23.889,23.9457,13.5485,13.5521,368.8376,7.7487,317.1712,2.7424,231.0185,0.4336,106.7719,-0.2643,70.1172,32.5403,-0.0436,0.0486
13:00.0,+02:00,24.5527,24.8245,24.6886,23.9407,23.9065,24.0019,13.5449,13.5494,368.8702,7.7481,317.3014,2.7472,230.9838,0.4355,106.7582,-0.2636,70.1367,32.5946,-0.0436,0.0486
14:00.0,+02:00,24.6148,24.8608,24.7378,23.9065,23.8717,23.9414,13.5485,13.554,368.8376,7.7494,317.3177,2.7536,231.0185,0.4375,106.7925,-0.2628,70.2018,32.5946,-0.0437,0.0487
15:00.0,+02:00,24.622,24.8087,24.7153,23.9413,23.8897,23.9929,13.5621,13.5657,368.8051,7.7601,317.4316,2.7631,231.0764,0.4404,106.8613,-0.2616,70.2669,32.5946,-0.0435,0.0486
16:00.0,+02:00,24.5563,24.7779,24.6671,23.9141,23.8819,23.9464,13.582,13.5856,368.8214,7.7703,317.513,2.7688,231.1574,0.4425,106.93,-0.2611,70.3255,32.5946,-0.0434,0.0486
17:00.0,+02:00,24.5668,24.8501,24.7084,23.9242,23.9126,23.9358,13.6028,13.6082,368.6749,7.7861,317.513,2.7723,231.2037,0.4433,106.985,-0.261,70.3581,32.5946,-0.0436,0.0486
18:00.0,+02:00,24.5542,24.853,24.7036,23.9312,23.8545,24.0079,13.6064,13.61,368.8376,7.7905,317.5456,2.7679,231.2037,0.4416,107.0124,-0.2615,70.332,32.5946,-0.0436,0.0486
19:00.0,+02:00,24.494,24.7489,24.6243,23.9143,23.8782,23.9517,13.6344,13.6399,368.5772,7.8108,317.5456,2.7711,231.1574,0.4421,106.9437,-0.2616,70.293,32.5403,-0.0435,0.0486
20:00.0,+02:00,24.5134,24.7039,24.6086,23.9216,23.9109,23.9999,13.4301,13.4319,368.5121,7.6734,317.4967,2.7074,231.0764,0.4243,106.8819,-0.2666,70.1563,32.5946,-0.0432,0.0483
21:00.0,+02:00,24.4601,24.7473,24.6302,23.8672,23.8387,23.9792,13.6489,13.6534,368.7074,7.8158,317.5781,2.7564,230.8681,0.4365,106.7582,-0.2642,70.0521,32.4861,-0.0441,0.0483
22:00.0,+02:00,24.4804,24.6851,24.5827,23.9007,23.8501,23.9055,13.6697,13.6733,368.9841,7.8234,317.5456,2.7577,230.7523,0.4371,106.5726,-0.2645,70.1237,32.4861,-0.0438,0.0483
23:00.0,+02:00,24.5413,24.7228,24.6186,23.8739,23.8174,23.8883,13.6769,13.6815,368.6098,7.8222,317.4967,2.7599,230.5787,0.4378,106.4695,-0.2639,70.1172,32.4318,-0.0436,0.0483
24:00.0,+02:00,24.443,24.7185,24.5807,23.8712,23.8428,23.8776,13.6932,13.6968,368.8051,7.8304,317.5781,2.7615,230.5671,0.438,106.3871,-0.2638,70.1497,32.4861,-0.0437,0.0483
25:00.0,+02:00,24.445,24.7064,24.5757,23.8663,23.8493,23.9408,13.6905,13.695,368.5447,7.8285,317.6595,2.7583,230.4977,0.4368,106.3321,-0.2645,70.0977,32.4318,-0.0437,0.0482
26:00.0,+02:00,24.4968,24.7672,24.632,23.8334,23.7876,23.8817,13.6932,13.6968,368.6098,7.8266,317.6432,2.7593,230.4051,0.4374,106.2496,-0.2645,70.0977,32.4861,-0.0436,0.0482
27:00.0,+02:00,24.4898,24.7151,24.6025,23.8278,23.7884,23.8709,13.6887,13.6923,368.5772,7.8253,317.7083,2.7622,230.382,0.4381,106.1809,-0.2641,70.1172,32.3776,-0.0437,0.0481
28:00.0,+02:00,24.495,24.7461,24.6206,23.8309,23.7884,23.8786,13.6896,13.6941,368.4633,7.8272,317.7246,2.7723,230.463,0.4418,106.1947,-0.2624,70.2148,32.4861,-0.0433,0.0483
29:00.0,+02:00,24.4283,24.7063,24.5673,23.8605,23.8209,23.9266,13.6887,13.6923,368.447,7.8279,317.8223,2.7739,230.4977,0.4421,106.2634,-0.2623,70.2669,32.4861,-0.0437,0.0483
30:00.0,+02:00,24.4859,24.7434,24.6147,23.7958,23.8145,23.9215,13.676,13.6805,368.5772,7.8241,317.7897,2.7768,230.5208,0.4431,106.2977,-0.262,70.2604,32.4318,-0.0439,0.0486
31:00.0,+02:00,24.5104,24.697,24.6037,23.8046,23.8114,23.9016,13.5087,13.5115,368.3005,7.7462,317.7083,2.7472,230.625,0.4352,106.3802,-0.2634,70.2669,32.4318,-0.0436,0.0482
32:00.0,+02:00,24.4933,24.7173,24.6053,23.8609,23.8521,23.8263,13.6426,13.6462,368.4796,7.8095,317.7246,2.7797,230.7292,0.4444,106.4146,-0.2609,70.2995,32.4861,-0.0437,0.0483
33:00.0,+02:00,24.5234,24.7203,24.6219,23.851,23.8179,23.9068,13.629,13.6326,368.2029,7.8076,317.6758,2.7819,230.7986,0.4457,106.5245,-0.2601,70.3971,32.5403,-0.0434,0.0484
34:00.0,+02:00,24.5189,24.7017,24.6103,23.823,23.8237,23.8533,13.6091,13.6136,368.3005,7.7962,317.627,2.7692,230.8449,0.4418,106.6207,-0.2619,70.3581,32.4861,-0.0439,0.0483
35:00.0,+02:00,24.587,24.7582,24.6726,23.8487,23.8259,23.929,13.5928,13.5956,368.3819,7.7842,317.5944,2.7577,230.7986,0.4386,106.6001,-0.2632,70.2474,32.4861,-0.0439,0.0483
36:00.0,+02:00,24.56,24.7723,24.6662,23.8295,23.7959,23.8732,13.5684,13.5729,368.3331,7.7715,317.4967,2.7529,230.7523,0.4366,106.5383,-0.2635,70.1823,32.4318,-0.0438,0.048
37:00.0,+02:00,24.495,24.8077,24.6513,23.9058,23.8471,23.9012,13.5576,13.5612,368.2517,7.7646,317.4967,2.7542,230.706,0.4374,106.5245,-0.2632,70.2018,32.4861,-0.0433,0.0481
38:00.0,+02:00,24.6207,24.8437,24.7322,23.9313,23.9131,23.9957,13.5702,13.5739,368.3819,7.7715,317.4316,2.7583,230.7292,0.4381,106.5383,-0.2628,70.2214,32.4318,-0.0437,0.048
39:00.0,+02:00,24.633,24.9013,24.7671,23.9896,23.9836,24.0275,13.5892,13.5928,368.2517,7.7823,317.4642,2.7695,230.7408,0.4424,106.5658,-0.2616,70.2799,32.4318,-0.0438,0.048
40:00.0,+02:00,24.6653,24.913,24.7891,23.9786,23.9422,24.0856,13.6019,13.6055,368.447,7.7949,317.4153,2.7867,230.9144,0.448,106.6413,-0.2594,70.4297,32.4861,-0.0439,0.0482
41:00.0,+02:00,24.6695,24.9032,24.7864,24.0535,24.0186,24.1169,13.45,13.4545,368.3819,7.7259,317.4153,2.7641,231.0764,0.4424,106.8063,-0.2601,70.5273,32.4861,-0.0437,0.0481
42:00.0,+02:00,24.7203,24.8714,24.7958,24.0026,23.9909,24.0374,13.629,13.6317,368.5121,7.8234,317.3991,2.8089,231.2616,0.4553,106.9506,-0.2566,70.625,32.4969,-0.0441,0.0483
43:00.0,+02:00,24.7037,24.9619,24.8328,24.003,24.0068,24.0417,13.6326,13.6362,368.3656,7.8329,317.3503,2.8169,231.4236,0.458,107.1155,-0.2551,70.7878,32.5838,-0.0437,0.0486
44:00.0,+02:00,24.662,24.8828,24.7724,24.0323,23.9938,24.0842,13.6417,13.6462,368.4145,7.8405,317.2363,2.8147,231.5046,0.4576,107.2804,-0.2554,70.8073,32.5946,-0.0438,0.0484
45:00.0,+02:00,24.6889,24.8955,24.7922,24.0301,24.0263,24.0832,13.6552,13.6579,368.268,7.8494,317.1387,2.8061,231.4931,0.4545,107.2942,-0.2571,70.7161,32.5403,-0.0439,0.0483
46:00.0,+02:00,24.6758,24.885,24.7804,24.0092,23.9711,24.0978,13.6751,13.6787,368.3331,7.862,317.0573,2.7981,231.3658,0.4512,107.2255,-0.2586,70.6055,32.4861,-0.0438,0.0483
47:00.0,+02:00,24.6677,24.8446,24.7561,24.0027,23.9696,24.0239,13.6796,13.6851,368.2029,7.8627,316.9108,2.7886,231.2037,0.448,107.0812,-0.26,70.5078,32.4318,-0.0441,0.048
48:00.0,+02:00,24.6024,24.9356,24.769,23.9957,23.9908,23.9908,13.6977,13.7013,368.268,7.8677,316.9108,2.7828,230.9954,0.4454,106.8956,-0.2612,70.3971,32.3776,-0.0439,0.0481
49:00.0,+02:00,24.6268,24.8953,24.7611,23.9697,23.9746,23.9978,13.6986,13.7032,368.2192,7.8557,316.9108,2.7758,230.7292,0.4436,106.6895,-0.2619,70.332,32.4318,-0.0435,0.0481
50:00.0,+02:00,24.611,24.8705,24.7408,24.0418,23.9563,24.0313,13.6932,13.6959,367.8936,7.8475,316.9759,2.7692,230.5787,0.441,106.5658,-0.263,70.2669,32.4861,-0.0438,0.0479
51:00.0,+02:00,24.5641,24.8107,24.6874,24.0098,24.0045,23.9993,13.7086,13.7122,368.3005,7.8525,316.9922,2.7739,230.3935,0.4421,106.394,-0.2625,70.2474,32.3776,-0.0438,0.048
52:00.0,+02:00,24.6885,24.8744,24.7814,23.9652,23.9304,23.9886,13.5856,13.5901,367.9425,7.7956,317.0735,2.7481,230.3357,0.4348,106.3115,-0.2645,70.1628,32.3884,-0.0432,0.0479
53:00.0,+02:00,24.5747,24.8367,24.7057,23.9901,23.9374,24.0227,13.705,13.7086,368.0564,7.8443,317.0898,2.772,230.3009,0.4413,106.2634,-0.2629,70.2214,32.4318,-0.0437,0.0478
54:00.0,+02:00,24.6016,24.8572,24.7294,23.9656,23.9066,23.9221,13.6787,13.6824,367.7635,7.8329,317.1875,2.7672,230.2083,0.4398,106.174,-0.2632,70.1367,32.3233,-0.0438,0.0477
55:00.0,+02:00,24.6177,24.8835,24.7506,23.8914,23.8636,23.9373,13.7122,13.7167,367.9913,7.8487,317.2526,2.7806,230.1505,0.4441,106.1053,-0.2616,70.2799,32.3776,-0.0439,0.0478
56:00.0,+02:00,24.4984,24.8043,24.6514,23.9505,23.95,23.9887,13.7095,13.7131,367.7797,7.8487,317.2363,2.7876,230.2315,0.4466,106.1259,-0.2607,70.3581,32.4318,-0.0439,0.0479
57:00.0,+02:00,24.51,24.839,24.6745,23.9345,23.9267,23.9526,13.7068,13.7104,367.8936,7.8475,317.3177,2.787,230.2431,0.4463,106.174,-0.2607,70.3971,32.4861,-0.044,0.048
58:00.0,+02:00,24.5752,24.8048,24.69,23.9814,23.9264,24,13.7013,13.7059,367.8448,7.8456,317.3177,2.7854,230.2083,0.4462,106.174,-0.2606,70.3971,32.4861,-0.0436,0.048
59:00.0,+02:00,24.5708,24.8262,24.6985,23.9281,23.8803,23.9036,13.6796,13.6833,367.5031,7.8361,317.2689,2.7723,230.1736,0.4419,106.1466,-0.2623,70.319,32.4861,-0.0436,0.0479
00:00.0,+02:00,24.5602,24.813,24.6866,23.9175,23.8741,23.8547,13.6697,13.6733,367.5356,7.8266,317.2689,2.7672,230.1505,0.4409,106.0847,-0.2627,70.2669,32.3776,-0.0435,0.0479
01:00.0,+02:00,24.5593,24.7579,24.6586,23.9188,23.9022,23.9861,13.6525,13.6561,367.4868,7.8171,317.22,2.7637,229.9884,0.439,106.016,-0.2632,70.2279,32.3776,-0.0439,0.0476
02:00.0,+02:00,24.5876,24.8068,24.6972,23.9033,23.8402,23.9719,13.629,13.6326,367.5519,7.8051,317.2363,2.7663,230.0463,0.4404,105.9816,-0.2624,70.2344,32.4318,-0.0434,0.0477
03:00.0,+02:00,24.6411,24.7752,24.7082,23.9071,23.8671,23.911,13.6245,13.6281,367.5356,7.8019,317.1387,2.7685,230.0116,0.4413,106.016,-0.262,70.293,32.3776,-0.0439,0.0477
04:00.0,+02:00,24.6161,24.8327,24.7244,23.8993,23.8907,23.923,13.61,13.6136,367.5519,7.793,317.1061,2.7711,230.1505,0.4427,106.0572,-0.2615,70.332,32.3776,-0.0438,0.0477
05:00.0,+02:00,24.6079,24.8025,24.7052,23.9242,23.9043,23.912,13.5992,13.6037,367.6983,7.7899,317.1387,2.7742,230.2199,0.4441,106.1259,-0.2608,70.3646,32.4318,-0.0437,0.0478
06:00.0,+02:00,24.5468,24.8176,24.6822,23.9023,23.9086,23.9834,13.5802,13.5838,367.4868,7.7804,317.0085,2.7711,230.2431,0.4433,106.2153,-0.2608,70.3906,32.4318,-0.0439,0.0478
07:00.0,+02:00,24.6007,24.7837,24.6922,23.9042,23.8638,23.9631,13.5802,13.5838,367.2752,7.7842,316.9922,2.772,230.2894,0.4431,106.2565,-0.2607,70.4232,32.4318,-0.0437,0.0478
08:00.0,+02:00,24.5692,24.7432,24.6562,23.9216,23.9419,23.9355,13.5485,13.5512,367.3891,7.7696,316.9271,2.7647,230.4051,0.4412,106.3115,-0.2616,70.319,32.3667,-0.0434,0.0475
09:00.0,+02:00,24.5155,24.8029,24.6592,23.9626,23.967,23.998,13.5521,13.5558,367.3566,7.7671,316.862,2.7641,230.3241,0.4413,106.3321,-0.2616,70.3776,32.4318,-0.0437,0.0475
10:00.0,+02:00,24.5677,24.8332,24.7005,23.9136,23.8652,23.9438,13.5458,13.5494,367.5844,7.7639,316.8457,2.7609,230.3588,0.4398,106.3321,-0.2619,70.3581,32.3776,-0.0438,0.0475
11:00.0,+02:00,24.5275,24.7671,24.6473,23.8671,23.8626,23.8988,13.5512,13.5549,367.3403,7.7652,316.748,2.7577,230.3357,0.4386,106.3115,-0.2625,70.293,32.3233,-0.044,0.0475
12:00.0,+02:00,24.4928,24.7402,24.6165,23.9149,23.9024,23.9811,13.5558,13.5594,367.3891,7.7709,316.7806,2.7596,230.2315,0.4395,106.2565,-0.2623,70.293,32.3776,-0.0436,0.0475
13:00.0,+02:00,24.5429,24.7426,24.6427,23.8748,23.8112,23.8925,13.5567,13.5603,367.1124,7.7684,316.748,2.7567,230.1505,0.4387,106.229,-0.2624,70.293,32.3776,-0.0437,0.0475
14:00.0,+02:00,24.5197,24.7103,24.615,23.9055,23.8063,23.9649,13.5549,13.5594,367.324,7.7652,316.6829,2.7481,230.1158,0.4357,106.1947,-0.2638,70.2279,32.3233,-0.0442,0.0474
15:00.0,+02:00,24.4503,24.7362,24.5933,23.8821,23.8361,23.9199,13.5576,13.5612,367.2101,7.7665,316.6992,2.7472,229.9769,0.4351,106.0847,-0.2641,70.1563,32.3233,-0.0437,0.0473
16:00.0,+02:00,24.4828,24.7674,24.6251,23.862,23.8368,23.86,13.5693,13.5729,367.4379,7.7696,316.6829,2.7526,229.9421,0.4366,106.0091,-0.2634,70.1888,32.3233,-0.0437,0.0473
17:00.0,+02:00,24.4947,24.7343,24.6145,23.8872,23.8385,23.9816,13.5666,13.5702,367.2263,7.7582,316.7318,2.7526,229.919,0.4372,105.9816,-0.2631,70.2474,32.3776,-0.0435,0.0475
18:00.0,+02:00,24.4375,24.6551,24.5463,23.8852,23.8453,23.8711,13.5521,13.554,367.2263,7.7576,316.6992,2.7434,229.8611,0.434,105.9748,-0.2646,70.1237,32.2691,-0.0437,0.0472
19:00.0,+02:00,24.4222,24.659,24.5406,23.8502,23.8475,23.8591,13.5775,13.582,367.2101,7.7703,316.7318,2.7469,229.8148,0.4348,105.906,-0.2646,70.1563,32.2474,-0.0441,0.0473
20:00.0,+02:00,24.4584,24.6889,24.5736,23.8474,23.8135,23.8972,13.5793,13.5829,367.2426,7.7703,316.748,2.7466,229.7454,0.4348,105.8167,-0.2645,70.1302,32.2148,-0.044,0.0473
21:00.0,+02:00,24.4381,24.6363,24.5372,23.8012,23.7993,23.7942,13.582,13.5865,367.1287,7.7684,316.748,2.7392,229.6296,0.4322,105.7411,-0.2654,70.1042,32.2148,-0.0443,0.047
22:00.0,+02:00,24.3469,24.6867,24.5168,23.8747,23.8515,23.8928,13.5838,13.5865,367.031,7.7703,316.748,2.7376,229.4908,0.4314,105.6105,-0.2657,70.0391,32.2148,-0.0437,0.0471
23:00.0,+02:00,24.4172,24.6153,24.5163,23.7886,23.7527,23.8222,13.5874,13.591,367.1287,7.7671,316.6667,2.737,229.4097,0.4313,105.5281,-0.2659,70.0521,32.2148,-0.0437,0.047
24:00.0,+02:00,24.4705,24.6751,24.5728,23.749,23.7162,23.76,13.5838,13.5874,366.9008,7.7633,316.6992,2.7354,229.3171,0.4311,105.4525,-0.2661,70.0195,32.2148,-0.0438,0.047
25:00.0,+02:00,24.3819,24.7023,24.5421,23.8007,23.7643,23.8687,13.5784,13.582,366.7055,7.7614,316.7318,2.7421,229.3403,0.4333,105.4044,-0.2651,70.0716,32.2148,-0.044,0.0469
26:00.0,+02:00,24.391,24.6406,24.5158,23.7793,23.7378,23.8821,13.5829,13.5856,366.7869,7.7665,316.7318,2.7529,229.3634,0.4368,105.4387,-0.2638,70.1497,32.2148,-0.0436,0.0469
27:00.0,+02:00,24.3747,24.6372,24.5059,23.7851,23.7464,23.8108,13.5784,13.582,367.031,7.762,316.748,2.759,229.456,0.4396,105.5074,-0.2627,70.2669,32.2691,-0.0439,0.0471
28:00.0,+02:00,24.4026,24.6161,24.5094,23.8138,23.7738,23.8343,13.5404,13.5431,367.031,7.7494,316.7643,2.7532,229.6065,0.4375,105.5968,-0.2632,70.2148,32.2148,-0.0438,0.0469
29:00.0,+02:00,24.4467,24.6744,24.5606,23.7792,23.7585,23.8113,13.5702,13.5739,366.7869,7.7684,316.6667,2.7657,229.6528,0.4413,105.6999,-0.2619,70.293,32.2691,-0.0442,0.0471
30:00.0,+02:00,24.4611,24.631,24.5461,23.7664,23.7583,23.775,13.5684,13.5729,366.8358,7.7728,316.6504,2.7688,229.7222,0.4425,105.748,-0.2613,70.3776,32.2691,-0.0439,0.0471
31:00.0,+02:00,24.4708,24.7037,24.5872,23.7841,23.766,23.8214,13.5585,13.5612,367.1287,7.7696,316.6178,2.7663,229.8264,0.4416,105.8373,-0.2613,70.3841,32.2691,-0.044,0.0471
32:00.0,+02:00,24.4045,24.6696,24.5371,23.8434,23.8651,23.8496,13.5657,13.5684,367.0148,7.7772,316.5364,2.7679,229.8727,0.4424,105.8785,-0.2613,70.3841,32.2148,-0.0437,0.0471
33:00.0,+02:00,24.4979,24.6652,24.5816,23.8367,23.7954,23.8572,13.5603,13.5639,366.9822,7.7741,316.4876,2.7628,229.8843,0.4406,105.9198,-0.2619,70.3581,32.2691,-0.0439,0.047
34:00.0,+02:00,24.548,24.7475,24.6478,23.8235,23.7608,23.8883,13.5549,13.5585,366.9171,7.7665,316.4225,2.7564,229.8843,0.4381,105.9198,-0.2627,70.293,32.2148,-0.044,0.0469
35:00.0,+02:00,24.4455,24.712,24.5788,23.8525,23.8033,23.8974,13.5395,13.5431,367.2101,7.7614,316.4063,2.7516,229.838,0.4363,105.8992,-0.2635,70.2474,32.2148,-0.0441,0.0469
36:00.0,+02:00,24.4955,24.7762,24.6359,23.8677,23.8197,23.9202,13.5413,13.5458,367.3077,7.7589,316.276,2.752,229.8148,0.4368,105.8511,-0.2632,70.2474,32.1606,-0.0437,0.0468
37:00.0,+02:00,24.5097,24.8586,24.6842,23.892,23.8211,23.9629,13.5449,13.5503,367.0799,7.7601,316.3411,2.7542,229.8264,0.4378,105.8717,-0.263,70.2539,32.2148,-0.0438,0.0469
38:00.0,+02:00,24.5239,24.6964,24.6101,23.8516,23.8142,23.889,13.5341,13.5386,366.9497,7.7221,316.3737,2.7437,229.8727,0.4351,105.8785,-0.2636,70.2669,32.2148,-0.0442,0.0468
39:00.0,+02:00,24.4898,24.6765,24.5831,23.8575,23.8575,23.8575,13.5268,13.5295,367.0473,7.7487,316.3574,2.7478,229.8148,0.4355,105.8785,-0.2638,70.1628,32.1606,-0.0441,0.0467
40:00.0,+02:00,24.5353,24.713,24.6241,23.8312,23.8051,23.854,13.544,13.5476,367.1124,7.7576,316.3737,2.7583,229.919,0.4393,105.906,-0.2624,70.2799,32.2691,-0.0437,0.0469
41:00.0,+02:00,24.5515,24.7794,24.6655,23.8604,23.8488,23.9184,13.544,13.5476,367.1613,7.7589,316.3411,2.7599,229.8843,0.4398,105.9816,-0.2621,70.2995,32.2691,-0.0436,0.0469
42:00.0,+02:00,24.5028,24.7152,24.609,23.8468,23.8133,23.8584,13.5485,13.5512,367.145,7.7601,316.3249,2.7593,229.9421,0.4395,106.016,-0.2623,70.319,32.2148,-0.0437,0.0467
43:00.0,+02:00,24.5546,24.7735,24.6641,23.8249,23.7881,23.8616,13.5531,13.5549,367.1613,7.7639,316.3249,2.758,229.9421,0.4389,106.0229,-0.2628,70.2995,32.2148,-0.0441,0.0468
44:00.0,+02:00,24.4681,24.7334,24.6007,23.8633,23.8085,23.918,13.5485,13.5521,367.1938,7.7614,316.4225,2.7552,229.9769,0.4375,106.0091,-0.2632,70.2669,32.2148,-0.044,0.0468
45:00.0,+02:00,24.5325,24.7681,24.6503,23.8285,23.8343,23.8227,13.563,13.5675,367.3077,7.7677,316.3574,2.7561,229.9421,0.4386,105.9885,-0.263,70.2799,32.2148,-0.0435,0.0468
